date;city;Pandemic_severity_index
13/02/2018;São Miguel do Oeste;
13/02/2018;Laguna;
13/02/2018;Curitibanos;
13/02/2018;Rio Negrinho;
13/02/2018;Campos Novos;
13/02/2018;Itapoá;
13/02/2018;Joaçaba;
14/02/2018;Florianópolis;
14/02/2018;Itajaí;
14/02/2018;Chapecó;
14/02/2018;Lages;
14/02/2018;Caçador;
14/02/2018;Araranguá;
14/02/2018;Indaial;
14/02/2018;Xanxerê;
14/02/2018;São Miguel do Oeste;
14/02/2018;Laguna;
14/02/2018;Curitibanos;
14/02/2018;Rio Negrinho;
14/02/2018;Campos Novos;
14/02/2018;Itapoá;
14/02/2018;Joaçaba;
15/02/2018;Florianópolis;
15/02/2018;Itajaí;
15/02/2018;Chapecó;
15/02/2018;Lages;
15/02/2018;Caçador;
15/02/2018;Araranguá;
15/02/2018;Indaial;
15/02/2018;Xanxerê;
15/02/2018;São Miguel do Oeste;
15/02/2018;Laguna;
15/02/2018;Curitibanos;
15/02/2018;Rio Negrinho;
15/02/2018;Campos Novos;
15/02/2018;Itapoá;
15/02/2018;Joaçaba;
16/02/2018;Florianópolis;
16/02/2018;Itajaí;
16/02/2018;Chapecó;
16/02/2018;Lages;
16/02/2018;Caçador;
16/02/2018;Araranguá;
16/02/2018;Indaial;
16/02/2018;Xanxerê;
16/02/2018;São Miguel do Oeste;
16/02/2018;Laguna;
16/02/2018;Curitibanos;
16/02/2018;Rio Negrinho;
16/02/2018;Campos Novos;
16/02/2018;Itapoá;
16/02/2018;Joaçaba;
17/02/2018;Florianópolis;
17/02/2018;Itajaí;
17/02/2018;Chapecó;
17/02/2018;Lages;
17/02/2018;Caçador;
17/02/2018;Araranguá;
17/02/2018;Indaial;
17/02/2018;Xanxerê;
17/02/2018;São Miguel do Oeste;
17/02/2018;Laguna;
17/02/2018;Curitibanos;
17/02/2018;Rio Negrinho;
17/02/2018;Campos Novos;
17/02/2018;Itapoá;
17/02/2018;Joaçaba;
18/02/2018;Florianópolis;
18/02/2018;Itajaí;
18/02/2018;Chapecó;
18/02/2018;Lages;
18/02/2018;Caçador;
18/02/2018;Araranguá;
18/02/2018;Indaial;
18/02/2018;Xanxerê;
18/02/2018;São Miguel do Oeste;
18/02/2018;Laguna;
18/02/2018;Curitibanos;
18/02/2018;Rio Negrinho;
18/02/2018;Campos Novos;
18/02/2018;Itapoá;
18/02/2018;Joaçaba;
19/02/2018;Florianópolis;
19/02/2018;Itajaí;
19/02/2018;Chapecó;
19/02/2018;Lages;
19/02/2018;Caçador;
19/02/2018;Araranguá;
19/02/2018;Indaial;
19/02/2018;Xanxerê;
19/02/2018;São Miguel do Oeste;
19/02/2018;Laguna;
19/02/2018;Curitibanos;
19/02/2018;Rio Negrinho;
19/02/2018;Campos Novos;
19/02/2018;Itapoá;
19/02/2018;Joaçaba;
20/02/2018;Florianópolis;
20/02/2018;Itajaí;
20/02/2018;Chapecó;
20/02/2018;Lages;
20/02/2018;Caçador;
20/02/2018;Araranguá;
20/02/2018;Indaial;
20/02/2018;Xanxerê;
20/02/2018;São Miguel do Oeste;
20/02/2018;Laguna;
20/02/2018;Curitibanos;
20/02/2018;Rio Negrinho;
20/02/2018;Campos Novos;
20/02/2018;Itapoá;
20/02/2018;Joaçaba;
21/02/2018;Florianópolis;
21/02/2018;Itajaí;
21/02/2018;Chapecó;
21/02/2018;Lages;
21/02/2018;Caçador;
21/02/2018;Araranguá;
21/02/2018;Indaial;
21/02/2018;Xanxerê;
21/02/2018;São Miguel do Oeste;
21/02/2018;Laguna;
21/02/2018;Curitibanos;
21/02/2018;Rio Negrinho;
21/02/2018;Campos Novos;
21/02/2018;Itapoá;
21/02/2018;Joaçaba;
22/02/2018;Florianópolis;
22/02/2018;Itajaí;
22/02/2018;Chapecó;
22/02/2018;Lages;
22/02/2018;Caçador;
22/02/2018;Araranguá;
22/02/2018;Indaial;
22/02/2018;Xanxerê;
22/02/2018;São Miguel do Oeste;
22/02/2018;Laguna;
22/02/2018;Curitibanos;
22/02/2018;Rio Negrinho;
22/02/2018;Campos Novos;
22/02/2018;Itapoá;
22/02/2018;Joaçaba;
23/02/2018;Florianópolis;
23/02/2018;Itajaí;
23/02/2018;Chapecó;
23/02/2018;Lages;
23/02/2018;Caçador;
23/02/2018;Araranguá;
23/02/2018;Indaial;
23/02/2018;Xanxerê;
23/02/2018;São Miguel do Oeste;
23/02/2018;Laguna;
23/02/2018;Curitibanos;
23/02/2018;Rio Negrinho;
23/02/2018;Campos Novos;
23/02/2018;Itapoá;
23/02/2018;Joaçaba;
24/02/2018;Florianópolis;
24/02/2018;Itajaí;
24/02/2018;Chapecó;
24/02/2018;Lages;
24/02/2018;Caçador;
24/02/2018;Araranguá;
24/02/2018;Indaial;
24/02/2018;Xanxerê;
24/02/2018;São Miguel do Oeste;
24/02/2018;Laguna;
24/02/2018;Curitibanos;
24/02/2018;Rio Negrinho;
24/02/2018;Campos Novos;
24/02/2018;Itapoá;
24/02/2018;Joaçaba;
25/02/2018;Florianópolis;
25/02/2018;Itajaí;
25/02/2018;Chapecó;
25/02/2018;Lages;
25/02/2018;Caçador;
25/02/2018;Araranguá;
25/02/2018;Indaial;
25/02/2018;Xanxerê;
25/02/2018;São Miguel do Oeste;
25/02/2018;Laguna;
25/02/2018;Curitibanos;
25/02/2018;Rio Negrinho;
25/02/2018;Campos Novos;
25/02/2018;Itapoá;
25/02/2018;Joaçaba;
26/02/2018;Florianópolis;
26/02/2018;Itajaí;
26/02/2018;Chapecó;
26/02/2018;Lages;
26/02/2018;Caçador;
26/02/2018;Araranguá;
26/02/2018;Indaial;
26/02/2018;Xanxerê;
26/02/2018;São Miguel do Oeste;
26/02/2018;Laguna;
26/02/2018;Curitibanos;
26/02/2018;Rio Negrinho;
26/02/2018;Campos Novos;
26/02/2018;Itapoá;
26/02/2018;Joaçaba;
27/02/2018;Florianópolis;
27/02/2018;Itajaí;
27/02/2018;Chapecó;
27/02/2018;Lages;
27/02/2018;Caçador;
27/02/2018;Araranguá;
27/02/2018;Indaial;
27/02/2018;Xanxerê;
27/02/2018;São Miguel do Oeste;
27/02/2018;Laguna;
27/02/2018;Curitibanos;
27/02/2018;Rio Negrinho;
27/02/2018;Campos Novos;
27/02/2018;Itapoá;
27/02/2018;Joaçaba;
28/02/2018;Florianópolis;
28/02/2018;Itajaí;
28/02/2018;Chapecó;
28/02/2018;Lages;
28/02/2018;Caçador;
28/02/2018;Araranguá;
28/02/2018;Indaial;
28/02/2018;Xanxerê;
28/02/2018;São Miguel do Oeste;
28/02/2018;Laguna;
28/02/2018;Curitibanos;
28/02/2018;Rio Negrinho;
28/02/2018;Campos Novos;
28/02/2018;Itapoá;
28/02/2018;Joaçaba;
01/03/2018;Florianópolis;
01/03/2018;Itajaí;
01/03/2018;Chapecó;
01/03/2018;Lages;
01/03/2018;Caçador;
01/03/2018;Araranguá;
01/03/2018;Indaial;
01/03/2018;Xanxerê;
01/03/2018;São Miguel do Oeste;
01/03/2018;Laguna;
01/03/2018;Curitibanos;
01/03/2018;Rio Negrinho;
01/03/2018;Campos Novos;
01/03/2018;Itapoá;
01/03/2018;Joaçaba;
02/03/2018;Florianópolis;
02/03/2018;Itajaí;
02/03/2018;Chapecó;
02/03/2018;Lages;
02/03/2018;Caçador;
02/03/2018;Araranguá;
02/03/2018;Indaial;
02/03/2018;Xanxerê;
02/03/2018;São Miguel do Oeste;
02/03/2018;Laguna;
02/03/2018;Curitibanos;
02/03/2018;Rio Negrinho;
02/03/2018;Campos Novos;
02/03/2018;Itapoá;
02/03/2018;Joaçaba;
03/03/2018;Florianópolis;
03/03/2018;Itajaí;
03/03/2018;Chapecó;
03/03/2018;Lages;
03/03/2018;Caçador;
03/03/2018;Araranguá;
03/03/2018;Indaial;
03/03/2018;Xanxerê;
03/03/2018;São Miguel do Oeste;
03/03/2018;Laguna;
03/03/2018;Curitibanos;
03/03/2018;Rio Negrinho;
03/03/2018;Campos Novos;
03/03/2018;Itapoá;
03/03/2018;Joaçaba;
04/03/2018;Florianópolis;
04/03/2018;Itajaí;
04/03/2018;Chapecó;
04/03/2018;Lages;
04/03/2018;Caçador;
04/03/2018;Araranguá;
04/03/2018;Indaial;
04/03/2018;Xanxerê;
04/03/2018;São Miguel do Oeste;
04/03/2018;Laguna;
04/03/2018;Curitibanos;
04/03/2018;Rio Negrinho;
04/03/2018;Campos Novos;
04/03/2018;Itapoá;
04/03/2018;Joaçaba;
05/03/2018;Florianópolis;
05/03/2018;Itajaí;
05/03/2018;Chapecó;
05/03/2018;Lages;
05/03/2018;Caçador;
05/03/2018;Araranguá;
05/03/2018;Indaial;
05/03/2018;Xanxerê;
05/03/2018;São Miguel do Oeste;
05/03/2018;Laguna;
05/03/2018;Curitibanos;
05/03/2018;Rio Negrinho;
05/03/2018;Campos Novos;
